train.way,test.way,train.shot,test.shot,train.query,test.query,train.episodes,test.episodes,background,silence,unknown,epochs,lr,wd,train.acc,val.acc,timestamp,test.loss.mean,test.loss.confidence,test.acc.mean,test.acc.confidence
2,2,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.9325000095367431,0.892333371639252,2019-11-06 15:40:21,0.37727114673703904,0.04616018081569416,0.8270000424981118,0.02751085107309372
2,2,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.9690000054240228,0.936666703224182,2019-11-06 15:51:45,0.21366962260566655,0.031789708613218406,0.9140000414848326,0.015263662548421365
4,4,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.964799984395504,0.87386668920517,2019-11-06 18:50:25,0.5708040466904643,0.027631694470364204,0.7889333510398864,0.010466887034841988
4,4,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.9293999853730198,0.6752000147104265,2019-11-06 18:50:49,0.9101927334070206,0.030354295082002096,0.6129333451390269,0.015249331063183666
4,4,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.9139999765157701,0.8172000169754032,2019-11-06 18:51:27,0.6682995885610576,0.02414771032496563,0.7561333495378493,0.011280468876651331
4,4,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.9593333616852759,0.8738889110088348,2019-11-06 18:56:07,0.4795849941670894,0.020741824438776178,0.8212222480773925,0.009093691773176621
4,4,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9420000365376475,0.8575555747747425,2019-11-06 18:56:41,0.5676458275318144,0.024954898424532843,0.8000000274181367,0.010418996977858096
4,4,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9582500016689302,0.9056667137145993,2019-11-06 18:56:57,0.4109271897375584,0.02752248346485715,0.8386667102575301,0.01249210130898792
4,4,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9714999997615816,0.888166708946228,2019-11-06 18:58:08,0.41436982318758964,0.026159493059129013,0.831333373785019,0.01291966459004032
4,4,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.9439999863505361,0.7584000170230868,2019-11-06 19:00:18,0.747913967072964,0.031893591818147195,0.6866666793823241,0.016256734038814797
4,4,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.9575999829173085,0.8689333540201187,2019-11-06 19:03:49,0.5399605989456178,0.026110852781701638,0.8058666843175887,0.010228653846632383
4,4,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.9333999848365785,0.7213333487510682,2019-11-06 19:03:57,0.8425310641527176,0.027993180031930586,0.6560000133514403,0.014337893594481408
2,2,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.9593333458900446,0.8133333444595336,2019-11-06 15:51:45,0.6940573339164259,0.06011446544701963,0.7002222374081611,0.02765452921986967
4,4,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.9411999794840814,0.8349333542585374,2019-11-06 19:04:21,0.5678612646460531,0.023879039313174758,0.7886666870117187,0.010449208499340733
4,4,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9696666911244394,0.8887777990102768,2019-11-06 19:17:02,0.45668843522667874,0.025507626797325194,0.833555580973625,0.009129891345855025
4,4,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.9496666994690885,0.8400000238418579,2019-11-06 19:17:25,0.5350355857610705,0.0235568136819668,0.8114444702863693,0.008984300987768642
4,4,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.9600000011920925,0.8806667119264604,2019-11-06 19:25:15,0.44675647661089884,0.027833799880275022,0.8251667124032976,0.013420669359704812
4,4,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.9325000074505808,0.8786667132377627,2019-11-06 19:28:48,0.4736144568026067,0.025694988228971295,0.8173333781957625,0.01275712103168635
4,4,20,20,5,15,200,100,False,True,False,200,0.001,0.0,0.943199988603592,0.743600018620491,2019-11-06 19:29:42,0.7362069013714791,0.028750717461211522,0.684133345484733,0.014297879782651656
4,4,20,20,5,15,200,100,False,False,True,200,0.001,0.0,0.9663999867439269,0.8822666865587235,2019-11-06 19:31:17,0.5427079394459723,0.02195544581994139,0.7961333495378494,0.010375801379062457
4,4,20,20,5,15,200,100,True,True,False,200,0.001,0.0,0.9307999843358998,0.7046666777133941,2019-11-06 19:31:30,0.7498916813731193,0.030889802092257983,0.673733345866203,0.01681966504794026
4,4,20,20,5,15,200,100,True,False,True,200,0.001,0.0,0.9503999808430672,0.8402666866779327,2019-11-06 19:31:42,0.5271226079761985,0.025328965685177174,0.8120000195503237,0.01068504187822403
4,4,20,20,5,15,200,100,False,True,True,200,0.001,0.0,0.9588333627581596,0.9021111315488816,2019-11-06 19:42:29,0.4587521582841874,0.023589011740274744,0.8318889141082764,0.009727776326281473
2,2,5,5,5,15,200,100,False,False,True,200,0.001,0.0,0.9206667092442512,0.8635555636882779,2019-11-06 15:51:45,0.49764330223202713,0.031416223705068705,0.8048889005184174,0.016019249616800468
4,4,20,20,5,15,200,100,True,True,True,200,0.001,0.0,0.9358333715796472,0.8661111360788345,2019-11-06 19:44:15,0.5344227373600005,0.023899777679303187,0.8151111352443694,0.009984726287072337
5,5,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.9277999797463415,0.7045333474874497,2019-11-06 19:44:23,1.0106143099069593,0.05815148784543728,0.6454666808247571,0.017837369591181228
5,5,1,1,5,15,200,100,True,False,False,200,0.001,0.0,0.9267999807000156,0.6465333473682405,2019-11-06 19:44:31,1.1828827601671217,0.0627105441782048,0.5762666797637939,0.01870384408500074
5,5,1,1,5,15,200,100,False,True,False,200,0.001,0.0,0.8203333762288095,0.5823333400487902,2019-11-06 19:44:42,1.499843456745148,0.05280928547091768,0.46522222906351085,0.015093340850061015
5,5,1,1,5,15,200,100,False,False,True,200,0.001,0.0,0.8951667091250417,0.6580000153183938,2019-11-06 19:45:26,1.390132187008858,0.0667070332663991,0.5347777888178827,0.01939151395810227
5,5,1,1,5,15,200,100,True,True,False,200,0.001,0.0,0.5293333628773689,0.44944444984197607,2019-11-06 19:52:04,1.5651431810855863,0.03574893688748741,0.3815555635094643,0.015427870576841602
5,5,1,1,5,15,200,100,True,False,True,200,0.001,0.0,0.8538333790004254,0.5656666761636733,2019-11-06 19:55:50,1.3282131636142724,0.05593932499820078,0.5274444517493247,0.020359966467890605
5,5,1,1,5,15,200,100,False,True,True,200,0.001,0.0,0.9041428628563879,0.7100952553749083,2019-11-06 19:55:52,1.0260002267360686,0.04999486623144387,0.6279047831892965,0.01626944758771294
5,5,1,1,5,15,200,100,True,True,True,200,0.001,0.0,0.8975714346766468,0.6267619267106057,2019-11-06 19:56:44,1.1010642755031586,0.04744585637519291,0.6052381178736689,0.014491658207327854
5,5,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9527999836206439,0.8569333535432815,2019-11-06 19:57:08,0.6429882851243021,0.02375237981674353,0.754933348298073,0.011185185653127512
2,2,5,5,5,15,200,100,True,True,False,200,0.001,0.0,0.9593333464860917,0.7684444579482075,2019-11-06 15:51:48,0.7263329134881495,0.051569856565363434,0.6717777940630912,0.02721702090577649
5,5,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.9475999802351,0.8076000195741652,2019-11-06 19:58:20,0.6347637099027637,0.025476217910242856,0.7664000195264818,0.00985185739986261
5,5,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.9246667003631588,0.693333346247673,2019-11-06 19:59:52,0.8929684102535251,0.021630791001481915,0.6491111212968825,0.008945425487733746
5,5,5,5,5,15,200,100,False,False,True,200,0.001,0.0,0.8896667149662973,0.8102222472429276,2019-11-06 20:00:46,0.8033826863765714,0.026764026981164063,0.7125555735826493,0.010536299701804383
5,5,5,5,5,15,200,100,True,True,False,200,0.001,0.0,0.9153333714604378,0.6306666719913484,2019-11-06 20:07:50,1.0346998989582068,0.02677955767886551,0.5983333414793015,0.01057134066330583
5,5,5,5,5,15,200,100,True,False,True,200,0.001,0.0,0.8931667119264602,0.773666691184044,2019-11-06 20:11:57,0.8947136229276655,0.026029733102706835,0.6795555716753006,0.010504719798230842
5,5,5,5,5,15,200,100,False,True,True,200,0.001,0.0,0.9515714314579965,0.859142870903015,2019-11-06 20:14:58,0.6074987250566484,0.01885698859698717,0.7796190613508227,0.008494353593434542
5,5,5,5,5,15,200,100,True,True,True,200,0.001,0.0,0.9494285744428635,0.830857154130936,2019-11-06 20:17:19,0.6722872111201288,0.02308523657471717,0.7738095372915271,0.007608500905457767
5,5,10,10,5,15,200,100,False,False,False,200,0.001,0.0,0.9025999778509137,0.8270666873455049,2019-11-06 20:17:33,0.5479956403374671,0.017982494062678215,0.798800019621849,0.00930162679859911
5,5,10,10,5,15,200,100,True,False,False,200,0.001,0.0,0.9187999787926676,0.8240000212192536,2019-11-06 20:17:43,0.5107679787278175,0.01656474698927591,0.8130666869878768,0.008129257886992204
5,5,10,10,5,15,200,100,False,True,False,200,0.001,0.0,0.8803333771228791,0.7123333513736726,2019-11-06 20:19:24,0.8438063859939573,0.019768021335782697,0.654888895750046,0.008649409374384678
2,2,5,5,5,15,200,100,True,False,True,200,0.001,0.0,0.9450000324845311,0.8366666764020919,2019-11-06 15:52:02,0.5038421569764614,0.03380421309245706,0.8133333444595335,0.013363920720129898
5,5,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.939333372116089,0.8377778011560438,2019-11-06 20:20:35,0.6759987846016884,0.023490077782898824,0.7694444668293001,0.008914283597113012
5,5,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.9058333715796467,0.7176666867733003,2019-11-06 20:27:42,0.860445762872696,0.019657517755842874,0.6574444520473482,0.008782613445784588
5,5,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.9330000433325767,0.7894444710016247,2019-11-06 20:28:48,0.6481753596663474,0.019911437355414747,0.7692222481966018,0.008124093231301126
5,5,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.947428574562073,0.8856190657615661,2019-11-06 20:30:26,0.5056746938824653,0.017308432805970636,0.8178095346689225,0.007196167150689467
5,5,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9608571451902391,0.8180952489376069,2019-11-06 20:31:03,0.6632389956712723,0.01948613641853186,0.7622857284545898,0.007059212216122627
