train.way,test.way,train.shot,test.shot,train.query,test.query,train.episodes,test.episodes,background,silence,unknown,epochs,lr,wd,train.acc,val.acc,timestamp
2,2,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.9325000095367431,0.892333371639252,2019-11-06 15:40:21
2,2,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.9690000054240228,0.936666703224182,2019-11-06 15:51:45
4,4,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.964799984395504,0.87386668920517,2019-11-06 18:50:25
4,4,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.9293999853730198,0.6752000147104265,2019-11-06 18:50:49
4,4,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.9139999765157701,0.8172000169754032,2019-11-06 18:51:27
4,4,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.9593333616852759,0.8738889110088348,2019-11-06 18:56:07
4,4,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9420000365376475,0.8575555747747425,2019-11-06 18:56:41
4,4,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9582500016689302,0.9056667137145993,2019-11-06 18:56:57
4,4,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9714999997615816,0.888166708946228,2019-11-06 18:58:08
4,4,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.9439999863505361,0.7584000170230868,2019-11-06 19:00:18
4,4,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.9575999829173085,0.8689333540201187,2019-11-06 19:03:49
4,4,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.9333999848365785,0.7213333487510682,2019-11-06 19:03:57
2,2,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.9593333458900446,0.8133333444595336,2019-11-06 15:51:45
4,4,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.9411999794840814,0.8349333542585374,2019-11-06 19:04:21
4,4,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9696666911244394,0.8887777990102768,2019-11-06 19:17:02
4,4,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.9496666994690885,0.8400000238418579,2019-11-06 19:17:25
4,4,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.9600000011920925,0.8806667119264604,2019-11-06 19:25:15
4,4,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.9325000074505808,0.8786667132377627,2019-11-06 19:28:48
4,4,20,20,5,15,200,100,False,True,False,200,0.001,0.0,0.943199988603592,0.743600018620491,2019-11-06 19:29:42
4,4,20,20,5,15,200,100,False,False,True,200,0.001,0.0,0.9663999867439269,0.8822666865587235,2019-11-06 19:31:17
4,4,20,20,5,15,200,100,True,True,False,200,0.001,0.0,0.9307999843358998,0.7046666777133941,2019-11-06 19:31:30
4,4,20,20,5,15,200,100,True,False,True,200,0.001,0.0,0.9503999808430672,0.8402666866779327,2019-11-06 19:31:42
4,4,20,20,5,15,200,100,False,True,True,200,0.001,0.0,0.9588333627581596,0.9021111315488816,2019-11-06 19:42:29
2,2,5,5,5,15,200,100,False,False,True,200,0.001,0.0,0.9206667092442512,0.8635555636882779,2019-11-06 15:51:45
4,4,20,20,5,15,200,100,True,True,True,200,0.001,0.0,0.9358333715796472,0.8661111360788345,2019-11-06 19:44:15
5,5,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.9277999797463415,0.7045333474874497,2019-11-06 19:44:23
5,5,1,1,5,15,200,100,True,False,False,200,0.001,0.0,0.9267999807000156,0.6465333473682405,2019-11-06 19:44:31
5,5,1,1,5,15,200,100,False,True,False,200,0.001,0.0,0.8203333762288095,0.5823333400487902,2019-11-06 19:44:42
5,5,1,1,5,15,200,100,False,False,True,200,0.001,0.0,0.8951667091250417,0.6580000153183938,2019-11-06 19:45:26
5,5,1,1,5,15,200,100,True,True,False,200,0.001,0.0,0.5293333628773689,0.44944444984197607,2019-11-06 19:52:04
5,5,1,1,5,15,200,100,True,False,True,200,0.001,0.0,0.8538333790004254,0.5656666761636733,2019-11-06 19:55:50
5,5,1,1,5,15,200,100,False,True,True,200,0.001,0.0,0.9041428628563879,0.7100952553749083,2019-11-06 19:55:52
5,5,1,1,5,15,200,100,True,True,True,200,0.001,0.0,0.8975714346766468,0.6267619267106057,2019-11-06 19:56:44
5,5,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9527999836206439,0.8569333535432815,2019-11-06 19:57:08
2,2,5,5,5,15,200,100,True,True,False,200,0.001,0.0,0.9593333464860917,0.7684444579482075,2019-11-06 15:51:48
5,5,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.9475999802351,0.8076000195741652,2019-11-06 19:58:20
5,5,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.9246667003631588,0.693333346247673,2019-11-06 19:59:52
5,5,5,5,5,15,200,100,False,False,True,200,0.001,0.0,0.8896667149662973,0.8102222472429276,2019-11-06 20:00:46
5,5,5,5,5,15,200,100,True,True,False,200,0.001,0.0,0.9153333714604378,0.6306666719913484,2019-11-06 20:07:50
5,5,5,5,5,15,200,100,True,False,True,200,0.001,0.0,0.8931667119264602,0.773666691184044,2019-11-06 20:11:57
5,5,5,5,5,15,200,100,False,True,True,200,0.001,0.0,0.9515714314579965,0.859142870903015,2019-11-06 20:14:58
5,5,5,5,5,15,200,100,True,True,True,200,0.001,0.0,0.9494285744428635,0.830857154130936,2019-11-06 20:17:19
5,5,10,10,5,15,200,100,False,False,False,200,0.001,0.0,0.9025999778509137,0.8270666873455049,2019-11-06 20:17:33
5,5,10,10,5,15,200,100,True,False,False,200,0.001,0.0,0.9187999787926676,0.8240000212192536,2019-11-06 20:17:43
5,5,10,10,5,15,200,100,False,True,False,200,0.001,0.0,0.8803333771228791,0.7123333513736726,2019-11-06 20:19:24
2,2,5,5,5,15,200,100,True,False,True,200,0.001,0.0,0.9450000324845311,0.8366666764020919,2019-11-06 15:52:02
5,5,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.939333372116089,0.8377778011560438,2019-11-06 20:20:35
5,5,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.9058333715796467,0.7176666867733003,2019-11-06 20:27:42
5,5,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.9330000433325767,0.7894444710016247,2019-11-06 20:28:48
5,5,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.947428574562073,0.8856190657615661,2019-11-06 20:30:26
5,5,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9608571451902391,0.8180952489376069,2019-11-06 20:31:03
5,5,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9177999767661098,0.8498666870594024,2019-11-06 20:32:21
5,5,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9527999821305273,0.8146666836738585,2019-11-06 20:32:24
5,5,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.9565000191330905,0.7355555796623233,2019-11-06 20:48:02
5,5,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.9216667097806928,0.8167778027057648,2019-11-06 20:49:30
5,5,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.9248333713412289,0.6800000095367432,2019-11-06 20:56:53
2,2,5,5,5,15,200,100,False,True,True,200,0.001,0.0,0.967750001847744,0.9243333733081817,2019-11-06 15:52:31
5,5,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.9488333654403688,0.8103333562612534,2019-11-06 20:57:59
5,5,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9632857164740559,0.8920000225305553,2019-11-06 20:59:25
5,5,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.9361428609490398,0.8222857248783109,2019-11-06 21:00:04
5,5,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.920399979054928,0.8512000215053561,2019-11-06 21:00:41
5,5,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.9065999776124952,0.8374666863679884,2019-11-06 21:01:50
5,5,20,20,5,15,200,100,False,True,False,200,0.001,0.0,0.8835000398755072,0.689222233891487,2019-11-06 21:13:38
5,5,20,20,5,15,200,100,False,False,True,200,0.001,0.0,0.9230000448226932,0.858333355784416,2019-11-06 21:13:51
5,5,20,20,5,15,200,100,True,True,False,200,0.001,0.0,0.9018333718180661,0.6974444615840913,2019-11-06 21:14:26
5,5,20,20,5,15,200,100,True,False,True,200,0.001,0.0,0.9083333793282512,0.8151111376285554,2019-11-06 21:15:33
5,5,20,20,5,15,200,100,False,True,True,200,0.001,0.0,0.9658571448922156,0.8899047875404357,2019-11-06 21:15:33
2,2,5,5,5,15,200,100,True,True,True,200,0.001,0.0,0.9600000017881394,0.871000046133995,2019-11-06 15:53:47
5,5,20,20,5,15,200,100,True,True,True,200,0.001,0.0,0.9247142902016638,0.8516190576553344,2019-11-06 21:17:41
2,2,10,10,5,15,200,100,False,False,False,200,0.001,0.0,0.9700000059604648,0.9516666978597642,2019-11-06 16:01:08
2,2,10,10,5,15,200,100,True,False,False,200,0.001,0.0,0.9775000053644183,0.9286667078733443,2019-11-06 16:01:14
2,2,10,10,5,15,200,100,False,True,False,200,0.001,0.0,0.9590000090003014,0.7951111227273939,2019-11-06 16:02:07
2,2,1,1,5,15,200,100,True,False,False,200,0.001,0.0,0.932500009536743,0.8546667170524598,2019-11-06 15:40:21
2,2,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.9490000322461128,0.907333338856697,2019-11-06 16:02:11
2,2,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.9573333483934401,0.8000000107288364,2019-11-06 16:02:22
2,2,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.9426667028665549,0.8697777855396269,2019-11-06 16:02:34
2,2,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.981499999165535,0.9345000463724138,2019-11-06 16:03:50
2,2,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9570000016689302,0.8743333792686462,2019-11-06 16:06:58
2,2,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9785000061988831,0.9596666944026948,2019-11-06 16:11:38
2,2,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9690000078082084,0.9313333708047866,2019-11-06 16:11:48
2,2,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.9660000118613238,0.8202222326397897,2019-11-06 16:12:58
2,2,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.9540000304579733,0.916888893842697,2019-11-06 16:13:07
2,2,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.9620000126957895,0.7940000122785569,2019-11-06 16:13:11
2,2,1,1,5,15,200,100,False,True,False,200,0.001,0.0,0.8566667038202284,0.65844446092844,2019-11-06 15:40:21
2,2,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.9310000383853914,0.8613333415985103,2019-11-06 16:13:36
2,2,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9714999985694883,0.9273333781957624,2019-11-06 16:22:07
2,2,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.9602500033378605,0.8955000454187394,2019-11-06 16:22:07
2,2,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.9815000054240225,0.954333360791206,2019-11-06 16:23:23
2,2,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.9740000066161156,0.9136667108535765,2019-11-06 16:27:59
2,2,20,20,5,15,200,100,False,True,False,200,0.001,0.0,0.9546666809916504,0.8097777888178826,2019-11-06 16:32:13
2,2,20,20,5,15,200,100,False,False,True,200,0.001,0.0,0.9660000249743463,0.9140000051259995,2019-11-06 16:32:50
2,2,20,20,5,15,200,100,True,True,False,200,0.001,0.0,0.957333346009255,0.7773333463072776,2019-11-06 16:33:08
2,2,20,20,5,15,200,100,True,False,True,200,0.001,0.0,0.9523333615064623,0.8397777873277662,2019-11-06 16:34:55
2,2,20,20,5,15,200,100,False,True,True,200,0.001,0.0,0.9775000008940697,0.936333379149437,2019-11-06 16:35:03
2,2,1,1,5,15,200,100,False,False,True,200,0.001,0.0,0.9070000404119493,0.8168888998031616,2019-11-06 15:40:21
2,2,20,20,5,15,200,100,True,True,True,200,0.001,0.0,0.9675000017881399,0.9123333781957628,2019-11-06 16:41:35
3,3,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.9523333579301834,0.8251111212372778,2019-11-06 16:42:13
3,3,1,1,5,15,200,100,True,False,False,200,0.001,0.0,0.9163333693146709,0.7768889012932778,2019-11-06 16:42:24
3,3,1,1,5,15,200,100,False,True,False,200,0.001,0.0,0.9070000046491621,0.6428333681821826,2019-11-06 16:51:38
3,3,1,1,5,15,200,100,False,False,True,200,0.001,0.0,0.8930000101029878,0.7668333780765532,2019-11-06 16:52:03
3,3,1,1,5,15,200,100,True,True,False,200,0.001,0.0,0.7692500112950806,0.586166698485613,2019-11-06 16:52:18
3,3,1,1,5,15,200,100,True,False,True,200,0.001,0.0,0.8190000128746033,0.6675000390410419,2019-11-06 16:52:30
3,3,1,1,5,15,200,100,False,True,True,200,0.001,0.0,0.9317999812960623,0.8064000201225278,2019-11-06 16:52:44
3,3,1,1,5,15,200,100,True,True,True,200,0.001,0.0,0.7717999777197837,0.6772000145912171,2019-11-06 16:56:46
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.96366669267416,0.8968888950347899,2019-11-06 17:01:51
2,2,1,1,5,15,200,100,True,True,False,200,0.001,0.0,0.7960000391304495,0.6528889063000679,2019-11-06 15:40:21
3,3,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.9460000327229504,0.8517777866125109,2019-11-06 17:02:18
3,3,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.9385000008344649,0.7480000394582749,2019-11-06 17:02:40
3,3,5,5,5,15,200,100,False,False,True,200,0.001,0.0,0.9527500021457675,0.8735000473260883,2019-11-06 17:02:53
3,3,5,5,5,15,200,100,True,True,False,200,0.001,0.0,0.9285000026226039,0.7138333734869958,2019-11-06 17:03:07
3,3,5,5,5,15,200,100,True,False,True,200,0.001,0.0,0.9197500091791153,0.8146667116880416,2019-11-06 17:04:03
3,3,5,5,5,15,200,100,False,True,True,200,0.001,0.0,0.9599999833106996,0.9086666923761367,2019-11-06 17:08:04
3,3,5,5,5,15,200,100,True,True,True,200,0.001,0.0,0.9641999852657318,0.8542666852474213,2019-11-06 17:09:38
3,3,10,10,5,15,200,100,False,False,False,200,0.001,0.0,0.9763333517313008,0.9188888937234881,2019-11-06 17:12:13
3,3,10,10,5,15,200,100,True,False,False,200,0.001,0.0,0.9656666919589045,0.8717777854204176,2019-11-06 17:12:54
3,3,10,10,5,15,200,100,False,True,False,200,0.001,0.0,0.9482500016689301,0.7818333739042279,2019-11-06 17:13:53
2,2,1,1,5,15,200,100,True,False,True,200,0.001,0.0,0.8780000382661822,0.7317777928709982,2019-11-06 15:40:21
3,3,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.9575000017881391,0.9020000439882276,2019-11-06 17:13:56
3,3,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.9342500025033948,0.7383333724737168,2019-11-06 17:14:18
3,3,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.9040000119805333,0.8160000443458556,2019-11-06 17:15:16
3,3,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.9641999843716625,0.9276000267267227,2019-11-06 17:23:02
3,3,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9567999848723412,0.8649333512783053,2019-11-06 17:23:59
3,3,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9513333624601364,0.898666672706604,2019-11-06 17:29:14
