train.way,test.way,train.shot,test.shot,train.query,test.query,train.episodes,test.episodes,background,silence,unknown,epochs,lr,wd,train.acc,val.acc,timestamp
2,2,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.962500005811453,0.9273333680629732,2019-11-18 13:06:22
2,2,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.971000008583069,0.9613333588838577,2019-11-18 13:06:25
4,4,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.9629999846220018,0.8774666869640354,2019-11-18 14:36:17
4,4,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.9121999830007554,0.7544000160694123,2019-11-18 14:37:56
4,4,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.9555999818444254,0.865066688656807,2019-11-18 14:39:22
4,4,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.9675000271201131,0.9280000203847885,2019-11-18 14:40:04
4,4,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9650000262260442,0.9071111315488816,2019-11-18 14:40:46
4,4,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9864999997615815,0.9341667145490645,2019-11-18 14:41:37
4,4,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9797500002384187,0.9065000474452973,2019-11-18 14:45:59
4,4,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.9343999880552291,0.8018666857481,2019-11-18 14:48:19
4,4,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.9531999817490576,0.9270666921138764,2019-11-18 14:48:22
4,4,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.9339999878406526,0.7706666827201842,2019-11-18 14:48:22
2,2,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.9663333418965339,0.8324444535374641,2019-11-18 13:06:25
4,4,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.9433999806642531,0.8842666894197464,2019-11-18 14:48:26
4,4,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9650000250339507,0.9280000191926956,2019-11-18 14:49:46
4,4,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.9560000309348107,0.9011111313104632,2019-11-18 14:49:55
4,4,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.9889999994635578,0.9481667119264603,2019-11-18 14:50:33
4,4,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.9864999979734419,0.913500044345856,2019-11-18 14:51:06
4,4,20,20,5,15,200,100,False,True,False,200,0.001,0.0,0.9175999823212624,0.7890666842460636,2019-11-18 14:53:33
4,4,20,20,5,15,200,100,False,False,True,200,0.001,0.0,0.9601999837160107,0.9006666880846023,2019-11-18 14:54:20
4,4,20,20,5,15,200,100,True,True,False,200,0.001,0.0,0.933199987113476,0.782266684174538,2019-11-18 14:54:20
4,4,20,20,5,15,200,100,True,False,True,200,0.001,0.0,0.953199981749058,0.884533352255821,2019-11-18 15:01:35
4,4,20,20,5,15,200,100,False,True,True,200,0.001,0.0,0.9740000221133236,0.9266666859388355,2019-11-18 15:02:05
2,2,5,5,5,15,200,100,False,False,True,200,0.001,0.0,0.9583333599567415,0.927555559873581,2019-11-18 13:06:25
4,4,20,20,5,15,200,100,True,True,True,200,0.001,0.0,0.934666707515717,0.8891111350059508,2019-11-18 15:03:03
5,5,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.9463999825716018,0.7344000157713888,2019-11-18 15:06:48
5,5,1,1,5,15,200,100,True,False,False,200,0.001,0.0,0.8295999769866467,0.7086666795611382,2019-11-18 15:07:29
5,5,1,1,5,15,200,100,False,True,False,200,0.001,0.0,0.8836667077243329,0.6236666780710218,2019-11-18 15:09:20
5,5,1,1,5,15,200,100,False,False,True,200,0.001,0.0,0.8280000473558907,0.6910000178217888,2019-11-18 15:09:31
5,5,1,1,5,15,200,100,True,True,False,200,0.001,0.0,0.8693333765864371,0.5967777866125108,2019-11-18 15:11:15
5,5,1,1,5,15,200,100,True,False,True,200,0.001,0.0,0.8850000455975536,0.6467777910828588,2019-11-18 15:16:46
5,5,1,1,5,15,200,100,False,True,True,200,0.001,0.0,0.9530000028014181,0.781619062423706,2019-11-18 15:17:48
5,5,1,1,5,15,200,100,True,True,True,200,0.001,0.0,0.8865714353322982,0.7159047788381576,2019-11-18 15:18:27
5,5,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9641999858617786,0.8817333549261093,2019-11-18 15:18:31
2,2,5,5,5,15,200,100,True,True,False,200,0.001,0.0,0.9633333432674406,0.818000010550022,2019-11-18 13:06:25
5,5,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.9501999834179878,0.8546666872501372,2019-11-18 15:18:32
5,5,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.9308333662152289,0.7500000244379043,2019-11-18 15:19:26
5,5,5,5,5,15,200,100,False,False,True,200,0.001,0.0,0.9468333700299267,0.8834444653987886,2019-11-18 15:19:26
5,5,5,5,5,15,200,100,True,True,False,200,0.001,0.0,0.9293333640694619,0.7182222396135329,2019-11-18 15:19:33
5,5,5,5,5,15,200,100,True,False,True,200,0.001,0.0,0.9233333760499954,0.8174444711208345,2019-11-18 15:19:38
5,5,5,5,5,15,200,100,False,True,True,200,0.001,0.0,0.9225714331865312,0.8779047787189485,2019-11-18 15:20:19
5,5,5,5,5,15,200,100,True,True,True,200,0.001,0.0,0.934571432471275,0.8510476303100587,2019-11-18 15:20:26
5,5,10,10,5,15,200,100,False,False,False,200,0.001,0.0,0.964599986076355,0.9112000274658206,2019-11-18 15:21:12
5,5,10,10,5,15,200,100,True,False,False,200,0.001,0.0,0.9717999887466428,0.8910666877031328,2019-11-18 15:22:28
5,5,10,10,5,15,200,100,False,True,False,200,0.001,0.0,0.8990000411868099,0.7624444723129272,2019-11-18 15:23:23
2,2,5,5,5,15,200,100,True,False,True,200,0.001,0.0,0.9576666945219041,0.8851111179590225,2019-11-18 13:06:25
5,5,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.9648333597183224,0.9120000219345095,2019-11-18 15:23:43
5,5,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.915666700899601,0.7343333536386493,2019-11-18 15:25:55
5,5,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.9540000334382055,0.8691111320257188,2019-11-18 15:31:20
5,5,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.9612857165932657,0.9050476533174514,2019-11-18 15:32:01
5,5,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9490000030398368,0.8704762035608289,2019-11-18 15:32:24
5,5,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.97839998960495,0.9380000263452533,2019-11-18 15:32:48
5,5,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9485999807715413,0.8874666881561281,2019-11-18 15:35:39
5,5,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.9425000235438351,0.7604444694519042,2019-11-18 15:36:55
5,5,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.9523333665728573,0.900888911485672,2019-11-18 15:37:04
5,5,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.9166667011380197,0.7428889143466952,2019-11-18 15:37:18
2,2,5,5,5,15,200,100,False,True,True,200,0.001,0.0,0.965250001549721,0.9448333770036696,2019-11-18 13:06:25
5,5,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.9693333572149276,0.861888911128044,2019-11-18 15:37:40
5,5,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9670000019669532,0.9009524071216584,2019-11-18 15:38:12
5,5,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.9594285738468171,0.8866666859388355,2019-11-18 15:38:33
5,5,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.9863999930024148,0.9241333574056624,2019-11-18 15:38:48
5,5,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.9705999869108201,0.8994666868448256,2019-11-18 15:39:11
5,5,20,20,5,15,200,100,False,True,False,200,0.001,0.0,0.9446666917204855,0.7656666946411131,2019-11-18 15:42:43
5,5,20,20,5,15,200,100,False,False,True,200,0.001,0.0,0.9600000303983691,0.904888907074928,2019-11-18 15:42:58
5,5,20,20,5,15,200,100,True,True,False,200,0.001,0.0,0.9276667010784151,0.7510000252723698,2019-11-18 15:47:34
5,5,20,20,5,15,200,100,True,False,True,200,0.001,0.0,0.9686666911840444,0.8548889100551604,2019-11-18 15:52:41
5,5,20,20,5,15,200,100,False,True,True,200,0.001,0.0,0.966714287698269,0.9102857500314712,2019-11-18 15:54:38
2,2,5,5,5,15,200,100,True,True,True,200,0.001,0.0,0.9687499994039537,0.9163333773612976,2019-11-18 13:16:54
5,5,20,20,5,15,200,100,True,True,True,200,0.001,0.0,0.942285717725754,0.8937143099308016,2019-11-18 15:55:11
2,2,10,10,5,15,200,100,False,False,False,200,0.001,0.0,0.988500003516674,0.9666666913032529,2019-11-18 13:17:11
2,2,10,10,5,15,200,100,True,False,False,200,0.001,0.0,0.9855000045895579,0.9656666928529744,2019-11-18 13:17:16
2,2,10,10,5,15,200,100,False,True,False,200,0.001,0.0,0.9553333443403242,0.8502222308516503,2019-11-18 13:17:19
2,2,1,1,5,15,200,100,True,False,False,200,0.001,0.0,0.9595000082254413,0.8986667090654377,2019-11-18 13:06:22
2,2,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.9720000228285789,0.9348888927698137,2019-11-18 13:17:20
2,2,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.9483333545923232,0.8262222319841386,2019-11-18 13:17:23
2,2,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.9550000327825547,0.915111116170883,2019-11-18 13:17:29
2,2,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.9744999992847443,0.9526667112112044,2019-11-18 13:17:35
2,2,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9592500019073489,0.9220000427961349,2019-11-18 13:17:36
2,2,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9865000045299529,0.9756666862964629,2019-11-18 13:17:36
2,2,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9815000048279767,0.9693333554267882,2019-11-18 13:17:38
2,2,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.9523333442211155,0.8446666759252548,2019-11-18 13:18:00
2,2,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.962333360910416,0.9340000039339067,2019-11-18 13:18:10
2,2,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.9460000181198122,0.8188888996839524,2019-11-18 13:19:42
2,2,1,1,5,15,200,100,False,True,False,200,0.001,0.0,0.8766667032241818,0.7597777906060217,2019-11-18 13:06:22
2,2,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.951333364844322,0.9217777824401855,2019-11-18 13:20:03
2,2,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9692500004172327,0.9498333775997164,2019-11-18 13:26:05
2,2,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.9685000014305111,0.9263333761692047,2019-11-18 13:26:23
2,2,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.985000005066395,0.9750000190734864,2019-11-18 13:26:23
2,2,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.9810000044107436,0.9730000227689739,2019-11-18 13:26:29
2,2,20,20,5,15,200,100,False,True,False,200,0.001,0.0,0.9640000092983245,0.8362222307920455,2019-11-18 13:26:29
2,2,20,20,5,15,200,100,False,False,True,200,0.001,0.0,0.9686666882038111,0.9406666702032089,2019-11-18 13:26:33
2,2,20,20,5,15,200,100,True,True,False,200,0.001,0.0,0.957666681110859,0.8482222312688831,2019-11-18 13:26:43
2,2,20,20,5,15,200,100,True,False,True,200,0.001,0.0,0.9656666931509972,0.8968888950347899,2019-11-18 13:27:32
2,2,20,20,5,15,200,100,False,True,True,200,0.001,0.0,0.9655000019073485,0.9543333798646926,2019-11-18 13:27:32
2,2,1,1,5,15,200,100,False,False,True,200,0.001,0.0,0.9116667060554028,0.8440000084042547,2019-11-18 13:06:22
2,2,20,20,5,15,200,100,True,True,True,200,0.001,0.0,0.9642500007152558,0.9293333798646927,2019-11-18 13:32:26
3,3,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.9726666846871375,0.8722222298383715,2019-11-18 13:32:45
3,3,1,1,5,15,200,100,True,False,False,200,0.001,0.0,0.9343333664536474,0.7884444567561151,2019-11-18 13:35:50
3,3,1,1,5,15,200,100,False,True,False,200,0.001,0.0,0.9030000036954878,0.6788333663344385,2019-11-18 13:35:50
3,3,1,1,5,15,200,100,False,False,True,200,0.001,0.0,0.8980000084638597,0.8005000436306001,2019-11-18 13:35:50
3,3,1,1,5,15,200,100,True,True,False,200,0.001,0.0,0.806500012166798,0.6045000344514849,2019-11-18 13:36:17
3,3,1,1,5,15,200,100,True,False,True,200,0.001,0.0,0.9025000071525572,0.727000040411949,2019-11-18 13:36:23
3,3,1,1,5,15,200,100,False,True,True,200,0.001,0.0,0.9233999785780909,0.8424000179767608,2019-11-18 13:36:28
3,3,1,1,5,15,200,100,True,True,True,200,0.001,0.0,0.8785999776422976,0.7844000184535982,2019-11-18 13:44:04
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9806666806340218,0.9426666700839997,2019-11-18 13:45:26
2,2,1,1,5,15,200,100,True,True,False,200,0.001,0.0,0.8530000390112398,0.7184444588422775,2019-11-18 13:06:22
3,3,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.9723333519697193,0.9235555601119992,2019-11-18 13:45:26
3,3,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.9380000025033958,0.7865000450611114,2019-11-18 13:45:32
3,3,5,5,5,15,200,100,False,False,True,200,0.001,0.0,0.953750002682209,0.8986667144298551,2019-11-18 13:45:38
3,3,5,5,5,15,200,100,True,True,False,200,0.001,0.0,0.945749999880791,0.7861667084693909,2019-11-18 13:45:38
3,3,5,5,5,15,200,100,True,False,True,200,0.001,0.0,0.9522500017285348,0.85316671192646,2019-11-18 13:46:05
3,3,5,5,5,15,200,100,False,True,True,200,0.001,0.0,0.9675999853014949,0.9301333582401278,2019-11-18 13:46:26
3,3,5,5,5,15,200,100,True,True,True,200,0.001,0.0,0.9465999817848207,0.8909333544969558,2019-11-18 13:46:29
3,3,10,10,5,15,200,100,False,False,False,200,0.001,0.0,0.9796666818857194,0.9475555586814881,2019-11-18 13:47:16
3,3,10,10,5,15,200,100,True,False,False,200,0.001,0.0,0.9773333504796032,0.9342222261428832,2019-11-18 13:47:23
3,3,10,10,5,15,200,100,False,True,False,200,0.001,0.0,0.9507500007748608,0.8105000406503678,2019-11-18 13:47:57
