train.way,test.way,train.shot,test.shot,train.query,test.query,train.episodes,test.episodes,background,silence,unknown,epochs,lr,wd,train.acc,val.acc,timestamp
2,2,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.8100000092387198,0.7316667112708092,2019-11-05 10:33:36
2,2,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.9415000098943708,0.8873333770036698,2019-11-05 10:40:03
4,4,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.9237999808788299,0.7954666841030119,2019-11-05 12:04:50
4,4,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.9065999805927276,0.6289333462715151,2019-11-05 12:06:25
4,4,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.8661999768018726,0.7514666831493375,2019-11-05 12:06:57
4,4,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.9540000310540201,0.8148889112472534,2019-11-05 12:09:23
4,4,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9536666986346244,0.7948889160156251,2019-11-05 12:10:32
4,4,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9262500074505804,0.8298333787918093,2019-11-05 12:12:06
4,4,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.8960000097751617,0.7711667066812516,2019-11-05 12:12:10
4,4,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.8561999750137328,0.663600016236305,2019-11-05 12:12:59
4,4,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.9593999844789504,0.8045333516597747,2019-11-05 12:13:31
4,4,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.9443999892473223,0.6578666776418688,2019-11-05 12:15:50
2,2,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.944666686058044,0.6877777925133705,2019-11-05 10:40:16
4,4,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.928199977874756,0.7553333503007889,2019-11-05 12:16:25
4,4,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9350000402331351,0.8330000263452528,2019-11-05 12:19:40
4,4,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.9658333587646482,0.8045555818080905,2019-11-05 12:20:56
4,4,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.9745000007748605,0.8596667122840878,2019-11-05 12:21:09
4,4,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.9315000057220454,0.8191667133569717,2019-11-05 12:21:30
4,4,20,20,5,15,200,100,False,True,False,200,0.001,0.0,0.9355999839305879,0.6840000146627424,2019-11-05 12:22:44
4,4,20,20,5,15,200,100,False,False,True,200,0.001,0.0,0.9223999789357187,0.8148000198602678,2019-11-05 12:23:18
4,4,20,20,5,15,200,100,True,True,False,200,0.001,0.0,0.9265999826788901,0.6477333456277846,2019-11-05 12:26:01
4,4,20,20,5,15,200,100,True,False,True,200,0.001,0.0,0.834199975430965,0.7434666854143142,2019-11-05 12:27:06
4,4,20,20,5,15,200,100,False,True,True,200,0.001,0.0,0.9551666951179506,0.8364444684982301,2019-11-05 12:30:46
2,2,5,5,5,15,200,100,False,False,True,200,0.001,0.0,0.9470000317692757,0.7993333452939987,2019-11-05 10:40:21
4,4,20,20,5,15,200,100,True,True,True,200,0.001,0.0,0.9690000233054161,0.8135555815696714,2019-11-05 12:31:11
5,5,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.8707999762892724,0.5569333450496199,2019-11-05 12:31:18
5,5,1,1,5,15,200,100,True,False,False,200,0.001,0.0,0.715599980726838,0.433733344823122,2019-11-05 12:32:16
5,5,1,1,5,15,200,100,False,True,False,200,0.001,0.0,0.7343333736062053,0.39088889628648765,2019-11-05 12:33:56
5,5,1,1,5,15,200,100,False,False,True,200,0.001,0.0,0.7750000429153442,0.5175555649399759,2019-11-05 12:34:24
5,5,1,1,5,15,200,100,True,True,False,200,0.001,0.0,0.6011666996777054,0.3484444519877433,2019-11-05 12:37:28
5,5,1,1,5,15,200,100,True,False,True,200,0.001,0.0,0.7180000391602512,0.4273333404958248,2019-11-05 12:38:40
5,5,1,1,5,15,200,100,False,True,True,200,0.001,0.0,0.7714285850524899,0.5519047859311104,2019-11-05 12:38:56
5,5,1,1,5,15,200,100,True,True,True,200,0.001,0.0,0.6508571614325048,0.47847621142864216,2019-11-05 12:39:21
5,5,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.895199978351593,0.7374666804075242,2019-11-05 12:40:47
2,2,5,5,5,15,200,100,True,True,False,200,0.001,0.0,0.9273333549499511,0.7057777929306032,2019-11-05 10:40:27
