train.way,test.way,train.shot,test.shot,train.query,test.query,train.episodes,test.episodes,background,silence,unknown,epochs,lr,wd,train.acc,val.acc,timestamp
2,2,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.8065000096708534,0.7653333750367164,2019-10-28 18:36:06
2,2,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.9135000132024288,0.8353333783149721,2019-10-28 18:36:15
4,4,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.9281999787688252,0.7733333480358123,2019-10-28 19:27:53
4,4,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.8681999772787095,0.6394666779041291,2019-10-28 19:28:21
4,4,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.9079999780654905,0.7097333472967147,2019-10-28 19:28:59
4,4,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.9558333647251127,0.8231111365556718,2019-10-28 19:29:04
4,4,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.8766667154431341,0.7330000215768815,2019-10-28 19:29:57
4,4,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9562500023841859,0.8273333805799481,2019-10-28 19:30:08
4,4,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9482500037550925,0.8098333770036699,2019-10-28 19:30:08
4,4,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.9193999812006948,0.6854666811227799,2019-10-28 19:30:12
4,4,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.9513999816775318,0.8025333535671235,2019-10-28 19:31:20
4,4,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.8971999788284301,0.6561333486437798,2019-10-28 19:33:29
2,2,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.9110000288486478,0.7391111251711844,2019-10-28 18:36:15
4,4,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.8245999753475188,0.7117333477735518,2019-10-28 19:33:45
4,4,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9445000353455549,0.837777802944183,2019-10-28 19:34:17
4,4,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.8965000468492508,0.7587778019905088,2019-10-28 19:34:56
4,4,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.9625000020861622,0.8510000437498091,2019-10-28 19:34:56
4,4,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.9457500028610228,0.8078333759307861,2019-10-28 19:36:57
4,4,20,20,5,15,200,100,False,True,False,200,0.001,0.0,0.9275999844074247,0.7177333486080169,2019-10-28 19:36:57
4,4,20,20,5,15,200,100,False,False,True,200,0.001,0.0,0.9539999839663504,0.8266666865348814,2019-10-28 19:37:31
4,4,20,20,5,15,200,100,True,True,False,200,0.001,0.0,0.9087999829649928,0.6856000119447708,2019-10-28 19:38:26
4,4,20,20,5,15,200,100,True,False,True,200,0.001,0.0,0.8985999760031701,0.751333349943161,2019-10-28 19:38:29
4,4,20,20,5,15,200,100,False,True,True,200,0.001,0.0,0.9698333579301837,0.8542222476005555,2019-10-28 19:39:13
2,2,5,5,5,15,200,100,False,False,True,200,0.001,0.0,0.918666707277298,0.8240000104904172,2019-10-28 18:36:15
4,4,20,20,5,15,200,100,True,True,True,200,0.001,0.0,0.9033333772420883,0.7735555809736254,2019-10-28 19:40:33
5,5,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.6943999797105784,0.49640000969171516,2019-10-28 19:40:57
5,5,1,1,5,15,200,100,True,False,False,200,0.001,0.0,0.5881999859213829,0.4236000120639801,2019-10-28 19:41:11
5,5,1,1,5,15,200,100,False,True,False,200,0.001,0.0,0.5628333646059035,0.41488889530301093,2019-10-28 19:43:30
5,5,1,1,5,15,200,100,False,False,True,200,0.001,0.0,0.6038333679735661,0.4650000074505808,2019-10-28 19:44:02
5,5,1,1,5,15,200,100,True,True,False,200,0.001,0.0,0.5311666965484622,0.37666667446494084,2019-10-28 19:44:12
5,5,1,1,5,15,200,100,True,False,True,200,0.001,0.0,0.5393333633244038,0.3865555624663828,2019-10-28 19:47:03
5,5,1,1,5,15,200,100,False,True,True,200,0.001,0.0,0.6948571604490281,0.5637143102288247,2019-10-28 19:47:37
5,5,1,1,5,15,200,100,True,True,True,200,0.001,0.0,0.5751428762078282,0.4380952546000481,2019-10-28 19:47:59
5,5,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9225999760627744,0.7210666811466213,2019-10-28 19:48:05
2,2,5,5,5,15,200,100,True,True,False,200,0.001,0.0,0.8843333750963214,0.6846666836738584,2019-10-28 18:36:15
5,5,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.8861999756097796,0.6638666796684265,2019-10-28 19:48:20
5,5,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.8195000472664835,0.5930000093579295,2019-10-28 19:49:24
5,5,5,5,5,15,200,100,False,False,True,200,0.001,0.0,0.8581667134165765,0.6754444563388826,2019-10-28 19:49:28
5,5,5,5,5,15,200,100,True,True,False,200,0.001,0.0,0.7306667058169841,0.5517777866125106,2019-10-28 19:49:44
5,5,5,5,5,15,200,100,True,False,True,200,0.001,0.0,0.7961667126417163,0.6116666752099988,2019-10-28 19:49:52
5,5,5,5,5,15,200,100,False,True,True,200,0.001,0.0,0.9154285764694212,0.7316190636157991,2019-10-28 19:50:49
5,5,5,5,5,15,200,100,True,True,True,200,0.001,0.0,0.7987142975628377,0.6448571640253069,2019-10-28 19:51:01
5,5,10,10,5,15,200,100,False,False,False,200,0.001,0.0,0.9415999808907513,0.7860000181198122,2019-10-28 19:52:15
5,5,10,10,5,15,200,100,True,False,False,200,0.001,0.0,0.9271999776363374,0.7405333489179611,2019-10-28 19:53:46
5,5,10,10,5,15,200,100,False,True,False,200,0.001,0.0,0.9138333711028099,0.6442222315073016,2019-10-28 19:54:33
2,2,5,5,5,15,200,100,True,False,True,200,0.001,0.0,0.8696667155623437,0.7195555713772772,2019-10-28 18:41:38
5,5,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.8925000473856927,0.7460000240802765,2019-10-28 19:54:36
5,5,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.8846667116880419,0.6200000077486038,2019-10-28 19:55:07
5,5,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.8648333826661109,0.6888889014720917,2019-10-28 19:55:17
5,5,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.9181428620219226,0.7772381085157392,2019-10-28 19:55:43
5,5,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9115714338421825,0.7098095411062242,2019-10-28 19:56:09
5,5,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.963399984240532,0.8374666863679888,2019-10-28 19:57:26
5,5,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9353999796509742,0.7710666811466215,2019-10-28 19:57:32
5,5,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.9163333693146707,0.6612222313880923,2019-10-28 19:57:36
5,5,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.9261667087674139,0.7693333601951601,2019-10-28 19:57:39
5,5,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.883000042438507,0.6417777872085573,2019-10-28 19:59:12
2,2,5,5,5,15,200,100,False,True,True,200,0.001,0.0,0.9445000025629995,0.8523333817720409,2019-10-28 18:41:38
5,5,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.8496667152643202,0.683222236633301,2019-10-28 19:59:28
5,5,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9302857184410097,0.7972381079196931,2019-10-28 20:01:09
5,5,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.8781428644061087,0.744380967617035,2019-10-28 20:03:56
5,5,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.9701999875903131,0.8361333549022675,2019-10-28 20:05:10
