train.way,test.way,train.shot,test.shot,train.query,test.query,train.episodes,test.episodes,background,silence,unknown,epochs,lr,wd,train.acc,val.acc,timestamp,alpha,margin
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.8655000133812428,0.9023333758115771,2019-11-14 11:29:22,0.01,0.1
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9395000118017197,0.9390000289678577,2019-11-14 11:29:22,0.2,0.2
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.930000010430813,0.9136666914820673,2019-11-14 11:29:22,0.2,0.5
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9125000113248825,0.9060000285506249,2019-11-14 11:29:22,0.2,1.0
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.8965000115334983,0.9060000407695771,2019-11-14 11:29:22,0.5,0.1
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.8835000126808882,0.8740000417828561,2019-11-14 11:29:22,0.5,0.2
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.8725000109523534,0.8653333804011346,2019-11-14 11:29:22,0.5,0.5
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.878000012636185,0.8506667083501819,2019-11-14 11:29:22,0.5,1.0
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.5910000303387642,0.7120000165700914,2019-11-14 11:40:27,0.01,0.1
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.8333333809673781,0.855777786374092,2019-11-14 11:40:33,0.01,0.2
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.6976667009294032,0.6497777962684632,2019-11-14 11:40:33,0.01,0.5
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.940500010251999,0.9550000339746476,2019-11-14 11:29:22,0.01,0.2
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.5216666925698518,0.4982222375273705,2019-11-14 11:40:33,0.01,1.0
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9563333633542059,0.9266666710376742,2019-11-14 11:40:33,0.1,0.1
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9403333720564845,0.9173333382606507,2019-11-14 11:40:35,0.1,0.2
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.955666698217392,0.8813333404064181,2019-11-14 11:40:39,0.1,0.5
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9223333722352979,0.8526666754484178,2019-11-14 11:41:23,0.1,1.0
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9113333797454837,0.8920000064373016,2019-11-14 11:41:31,0.2,0.1
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9623333579301836,0.9233333379030223,2019-11-14 11:41:34,0.2,0.2
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9490000334382059,0.9157777827978132,2019-11-14 11:41:39,0.2,0.5
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9713333562016487,0.8391111207008362,2019-11-14 11:41:49,0.2,1.0
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9240000382065775,0.8820000070333481,2019-11-14 11:42:02,0.5,0.1
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.8305000123381613,0.8853333765268326,2019-11-14 11:29:22,0.01,0.5
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9210000404715539,0.8717777854204181,2019-11-14 11:42:12,0.5,0.2
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9366667038202285,0.8648888969421388,2019-11-14 11:42:28,0.5,0.5
3,3,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9403333669900895,0.7884444570541386,2019-11-14 11:44:09,0.5,1.0
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.7600000114738938,0.7030000382661818,2019-11-14 11:29:22,0.01,1.0
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9420000100135805,0.9366667014360427,2019-11-14 11:29:22,0.1,0.1
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9470000085234643,0.9300000381469722,2019-11-14 11:29:22,0.1,0.2
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9390000113844867,0.9106667047739031,2019-11-14 11:29:22,0.1,0.5
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9390000095963478,0.9003333765268323,2019-11-14 11:29:22,0.1,1.0
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9520000079274178,0.9396667003631591,2019-11-14 11:29:22,0.2,0.1
