train.way,test.way,train.shot,test.shot,train.query,test.query,train.episodes,test.episodes,background,silence,unknown,epochs,lr,wd,train.acc,val.acc,timestamp
2,2,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.9530000070482489,0.925000033378601,2019-11-12 10:33:17
2,2,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.962500007748604,0.9443333625793454,2019-11-12 10:33:23
4,4,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.9391999796032905,0.8572000241279599,2019-11-12 11:55:52
4,4,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.9133999809622764,0.6942666828632355,2019-11-12 11:56:19
4,4,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.9385999807715414,0.8016000205278399,2019-11-12 11:56:37
4,4,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.9598333624005313,0.8908889102935789,2019-11-12 11:56:45
4,4,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9375000375509257,0.8477778023481369,2019-11-12 11:57:07
4,4,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9560000023245813,0.9110000401735305,2019-11-12 11:58:02
4,4,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9650000014901163,0.8773333793878554,2019-11-12 12:01:03
4,4,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.93279998242855,0.785600019097328,2019-11-12 12:04:46
4,4,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.9595999845862385,0.8752000206708908,2019-11-12 12:05:25
4,4,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.9183999803662298,0.7076000159978866,2019-11-12 12:06:56
2,2,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.9420000134408476,0.7966666784882548,2019-11-12 10:33:23
4,4,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.9159999787807468,0.8177333539724351,2019-11-12 12:06:56
4,4,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9710000240802765,0.9052222430706026,2019-11-12 12:07:36
4,4,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.9461667013168331,0.8495555812120438,2019-11-12 12:07:42
4,4,20,20,5,15,200,100,False,False,False,200,0.001,0.0,0.9652499997615814,0.9046667098999022,2019-11-12 12:09:47
4,4,20,20,5,15,200,100,True,False,False,200,0.001,0.0,0.978000001013279,0.8811667120456698,2019-11-12 12:11:21
