train.way,test.way,train.shot,test.shot,train.query,test.query,train.episodes,test.episodes,background,silence,unknown,epochs,lr,wd,train.acc,val.acc,timestamp,test.loss.mean,test.loss.confidence,test.acc.mean,test.acc.confidence
2,2,1,1,5,15,200,100,False,False,False,200,0.001,0.0,0.962500005811453,0.9273333680629732,2019-11-18 13:06:22,0.3246199026843532,0.05282626863355697,0.8543333733081816,0.026488194820310534
2,2,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.971000008583069,0.9613333588838577,2019-11-18 13:06:25,0.20654165713116532,0.030634388581847066,0.9100000375509266,0.01646806135658723
4,4,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.9629999846220018,0.8774666869640354,2019-11-18 14:36:17,0.4851253622770308,0.028313742619119626,0.8250666809082029,0.010441976797483798
4,4,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.9121999830007554,0.7544000160694123,2019-11-18 14:37:56,0.6811765453219416,0.029685020353653186,0.708266681432724,0.015002252567287858
4,4,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.9555999818444254,0.865066688656807,2019-11-18 14:39:22,0.5168149384856222,0.024939147232152303,0.8193333530426027,0.009624425634836495
4,4,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.9675000271201131,0.9280000203847885,2019-11-18 14:40:04,0.3965659959614276,0.020930561552502912,0.8582222449779512,0.008706270279352675
4,4,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9650000262260442,0.9071111315488816,2019-11-18 14:40:46,0.4379078724980354,0.019750189485195833,0.8472222441434863,0.008467799678912162
4,4,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9864999997615815,0.9341667145490645,2019-11-18 14:41:37,0.26249973859637976,0.024983585526115893,0.8975000476837156,0.010723055713488003
4,4,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9797500002384187,0.9065000474452973,2019-11-18 14:45:59,0.3458422964811325,0.025513123515371456,0.8656667113304141,0.012265180058090809
4,4,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.9343999880552291,0.8018666857481,2019-11-18 14:48:19,0.6657373768091199,0.03163949500886991,0.7146666836738585,0.015815798432462003
4,4,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.9531999817490576,0.9270666921138764,2019-11-18 14:48:22,0.42663885489106185,0.02413146135148678,0.8438666862249374,0.009913389779442689
4,4,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.9339999878406526,0.7706666827201842,2019-11-18 14:48:22,0.7149047434329988,0.028994241978037016,0.6929333490133283,0.016654799183096723
2,2,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.9663333418965339,0.8324444535374641,2019-11-18 13:06:25,0.5672180410474539,0.05348161186898791,0.7328889028728006,0.030629850494107946
